1,Thành phố Hà Nội,01
2,Tỉnh Hà Giang,02
4,Tỉnh Cao Bằng,04
6,Tỉnh Bắc Kạn,06
8,Tỉnh Tuyên Quang,08
10.00,Tỉnh Lào Cai,10
11.00,Tỉnh Điện Biên,11
12.00,Tỉnh Lai Châu,12
14.00,Tỉnh Sơn La,14
15.00,Tỉnh Yên Bái,15
17.00,Tỉnh Hoà Bình,17
19.00,Tỉnh Thái Nguyên,19
20.00,Tỉnh Lạng Sơn,20
22.00,Tỉnh Quảng Ninh,22
24.00,Tỉnh Bắc Giang,24
25.00,Tỉnh Phú Thọ,25
26.00,Tỉnh Vĩnh Phúc,26
27.00,Tỉnh Bắc Ninh,27
30.00,Tỉnh Hải Dương,30
31.00,Thành phố Hải Phòng,31
33.00,Tỉnh Hưng Yên,33
34.00,Tỉnh Thái Bình,34
35.00,Tỉnh Hà Nam,35
36.00,Tỉnh Nam Định,36
37.00,Tỉnh Ninh Bình,37
38.00,Tỉnh Thanh Hóa,38
40.00,Tỉnh Nghệ An,40
42.00,Tỉnh Hà Tĩnh,42
44.00,Tỉnh Quảng Bình,44
45.00,Tỉnh Quảng Trị,45
46.00,Tỉnh Thừa Thiên Huế,46
48.00,Thành phố Đà Nẵng,48
49.00,Tỉnh Quảng Nam,49
51.00,Tỉnh Quảng Ngãi,51
52.00,Tỉnh Bình Định,52
54.00,Tỉnh Phú Yên,54
56.00,Tỉnh Khánh Hòa,56
58.00,Tỉnh Ninh Thuận,58
60.00,Tỉnh Bình Thuận,60
62.00,Tỉnh Kon Tum,62
64.00,Tỉnh Gia Lai,64
66.00,Tỉnh Đắk Lắk,66
67.00,Tỉnh Đắk Nông,67
68.00,Tỉnh Lâm Đồng,68
70.00,Tỉnh Bình Phước,70
72.00,Tỉnh Tây Ninh,72
74.00,Tỉnh Bình Dương,74
75.00,Tỉnh Đồng Nai,75
77.00,Tỉnh Bà Rịa - Vũng Tàu,77
79.00,Thành phố Hồ Chí Minh,79
80.00,Tỉnh Long An,80
82.00,Tỉnh Tiền Giang,82
83.00,Tỉnh Bến Tre,83
84.00,Tỉnh Trà Vinh,84
86.00,Tỉnh Vĩnh Long,86
87.00,Tỉnh Đồng Tháp,87
89.00,Tỉnh An Giang,89
91.00,Tỉnh Kiên Giang,91
92.00,Thành phố Cần Thơ,92
93.00,Tỉnh Hậu Giang,93
94.00,Tỉnh Sóc Trăng,94
95.00,Tỉnh Bạc Liêu,95
96.00,Tỉnh Cà Mau,96